,label,final_text
0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,0,ok lar joking wif u oni
2,1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over
3,0,u dun say early hor u c already say
4,0,nah dont think go usf life around though
5,1,freemsg hey darling week word back id like fun still tb ok xxx std chgs send å rcv
6,0,even brother like speak treat like aid patent
7,0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
8,1,winner valued network customer selected receivea å prize reward claim call claim code kl valid hour
9,1,mobile month u r entitled update latest colour mobile camera free call mobile update co free 
10,0,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today
11,1,six chance win cash pound txt csh send cost pday day tsandcs apply reply hl info
12,1,urgent week free membership å prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
13,0,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh kim watching
17,0,eh u remember spell name yes v naughty make v wet
18,0,fine thatåõs way u feel thatåõs way gota b
19,1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtì¼ poboxoxwwq 
20,0,seriously spell name
21,0,û going try month ha ha joking
22,0,ì pay first lar da stock comin
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,0,ffffffffff alright way meet sooner
25,0,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
26,0,lol always convincing
27,0,catch bus frying egg make tea eating mom left dinner feel love 
28,0,im back amp packing car ill let know there room
29,0,ahhh work vaguely remember feel like lol
30,0,wait thats still clear sure sarcastic thats x doesnt want live u
31,0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer 
32,0,k tell anything
33,0,fear fainting housework quick cuppa
34,1,thanks subscription ringtone uk mobile charged å month please confirm replying yes reply charged
35,0,yup ok go home look timing msg ì xuhui going learn nd may lesson
36,0,oops ill let know roommate done
37,0,see letter b car
38,0,anything lor u decide
39,0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
40,0,pls go ahead watt wanted sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,1, rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,0,seeing
44,0,great hope like man well endowed ltgt inch
45,0,callsmessagesmissed call
46,0,didnt get hep b immunisation nigeria
47,0,fair enough anything going
48,0,yeah hopefully tyler cant could maybe ask around bit
49,0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
50,0,thinked first time saw class
51,0,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
52,0,k fyi x ride early tomorrow morning he crashing place tonight
53,0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,0,know mallika sherawat yesterday find lturlgt
56,1,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss 
57,0,sorry ill call later meeting
58,0,tell reached
59,0,yesgauti sehwag odi series
60,0,gonna pick burger way home cant even move pain killing
61,0,ha ha ha good joke girl situation seeker
62,0,part checking iq
63,0,sorry roommate took forever ok come
64,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,1,valued customer pleased advise following recent review mob awarded å bonus prize call 
66,0,today song dedicated day song u dedicate send ur valuable frnds first rply
67,1,urgent ur awarded complimentary trip eurodisinc trav acoentry å claim txt dis å morefrmmob shracomorsglsuplt l aj
68,1,hear new divorce barbie come ken stuff
69,0,plane give month end
70,0,wah lucky man save money hee
71,0,finished class
72,0,hi babe im home wanna something xx
73,0,kkwhere youhow performed
74,0,u call
75,0,waiting machan call free
76,0,thats cool gentleman treat dignity respect
77,0,like people much shy pa
78,0,operate ltgt
79,0,still looking job much ta earn
80,0,sorry ill call later
81,0,k call ah 
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later dont network urgnt sm
86,0,real u getting yo need ticket one jacket im done already used multis
87,0,yes started send request make pain came back im back bed double coin factory gotta cash nitros
88,0,im really still tonight babe
89,0,ela kanoil download come wen ur free
90,0,yeah û stand close tho û catch something
91,0,sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry 
92,0,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
93,1,please call customer service representative ampm guaranteed å cash å prize
94,0,havent planning buy later check already lido got show e afternoon u finish work already
95,1,free ringtone waiting collected simply text password mix verify get usher britney fml
96,0,watching telugu moviewat abt u
97,0,see finish load loan pay
98,0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham
99,0,please dont text anymore nothing else say
100,0,okay name ur price long legal wen pick u ave x am xx
101,0,im still looking car buy gone driving test yet
103,0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
104,0,umma life vava umma love lot dear
105,0,thanks lot wish birthday thanks making birthday truly memorable
106,0,aight ill hit get cash
107,0,would ip address test considering computer isnt minecraft server
108,0,know grumpy old people mom like better lying always one play joke
109,0,dont worry guess he busy
110,0,plural noun research
111,0,going dinnermsg
112,0,im ok wif co like try new thing scared u dun like mah co u said loud
113,1,gent trying contact last weekend draw show å prize guaranteed call claim code k valid hr ppm
114,0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
115,0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
116,1,winner u specially selected receive å holiday flight inc speak live operator claim pmin 
117,0,goodo yes must speak friday eggpotato ratio tortilla needed 
118,0,hmmmy uncle informed he paying school directly pls buy food
119,1,private account statement show unredeemed bonus point claim call identifier code expires
120,1,urgent mobile awarded å bonus caller prize final try contact u call landline boxwrc ppm
121,0,new address applespairsall malarky
122,1,today voda number ending selected receive award match please call quoting claim code standard rate app
123,0,going sao mu today done 
124,0,ìï predict wat time ìll finish buying
125,0,good stuff
126,0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
127,0,room
128,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,0,kkhow much cost
130,0,im home
131,0,dear call tmorrowpls accomodate
132,0,first answer question
133,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr å sptyrone
134,1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt eca pmsgp
135,0,haf msn yijuehotmailcom
136,0,call meet
137,0,check room befor activity
138,1,youll rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
139,0,got c lazy type forgot ì lect saw pouch like v nice
140,0,k text youre way
141,0,sir waiting mail
142,0,swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni
143,0,know pls open back
144,0,yes see ya dot
145,0,whats staff name taking class u
146,1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
147,0,ummmawill call check inour life begin qatar pls pray hard
148,0,ki deleted contact
149,0,sindu got job birla soft 
150,0,wine flowing im nevering
151,0,yup thk cine better co need go plaza mah
152,0,ok ur typical reply
154,0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
155,0,aaooooright work
156,0,im leaving house
157,0,hello love get interview today happy good boy think meare missing 
158,1,customer service annoncement new year delivery waiting please call arrange delivery
159,1,winner u specially selected receive å cash holiday flight inc speak live operator claim 
160,0,keep safe need miss already envy everyone see real life
161,0,new car house parentsi new job hand
162,0,im love im excited day spend make happy
163,1,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd 
164,1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu
165,0,place ur point e culture module already
166,1,urgent trying contact last weekend draw show å prize guaranteed call claim code valid hr
167,0,hi frnd best way avoid missunderstding wit beloved one
168,0,great escape fancy bridge need lager see tomo 
169,0,yes completely formclark also utter waste
170,0,sir need axis bank account bank address
171,0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao 
172,0,time coming later 
173,0,bloody hell cant believe forgot surname mr ill give u clue spanish begin 
174,0,well im gonna finish bath goodfine night
175,0,let know youve got money carlos make call
176,0,u still going mall
177,0,turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
178,0,text doesnt reply let know log
179,0,hi spoke maneesha v wed like know satisfied experience reply toll free yes
180,0,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
181,0,lol u trust
182,0,ok gentleman treat dignity respect
183,0,guy close
184,0,going nothing greatbye
185,0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss 
186,0,haha awesome minute
187,1,please call customer service representative freephone ampm guaranteed å cash å prize
188,0,got xmas radio time get
189,0,jus reached home go bathe first si using net tell u finish k
190,1,unique enough find th august wwwareyouuniquecouk
191,0,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
192,0,hi finally completed course
193,0,stop however suggest stay someone able give or every stool
194,0,hope youve settled new school year wishin gr day
195,0,gud mrng dear hav nice day
196,0,u got person story
197,0,hamster dead hey tmr meet pm orchard mrt 
198,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
199,0,found enc ltgt
200,0,sent ltgt buck
201,0,hello darlin ive finished college txt u finish u love kate xxx
202,0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt 
203,0,goodmorning sleeping ga
204,0,u call alter ok
205,0,ìï say like dat dun buy ericsson oso cannot oredi lar
207,0,aight yo dat straight dogg
208,0,please give u connection today ltdecimalgt refund bill
209,0,shoot big load get ready
210,0,whats bruv hope great break rewarding semester
211,0,home always chat
212,0,kkgoodstudy well
213,0,yup ì noe leh
214,0,sound great home
215,0,finally match heading towards draw prediction
216,0,tired havent slept well past night
217,0,easy ahsen got selected mean good
218,0,take exam march 
219,0,yeah think use gt atm register sure there anyway help let know sure ready
220,0,ok prob take ur time
221,0,o called ubandu run without installing hard diskyou use o copy important file system give repair shop
223,0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
